,datetime_local,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,visibility,precip_type_-9999,precip_type_-9999.,precip_type_rain,icon_Breezy and Foggy,icon_Clear,icon_Foggy,icon_Humid,icon_Humid and Foggy,icon_Humid and Mostly Cloudy,icon_Humid and Overcast,icon_Humid and Partly Cloudy,icon_Light Rain,icon_Light Rain and Humid,icon_Mostly Cloudy,icon_Overcast,icon_Partly Cloudy,icon_Possible Drizzle and Humid,icon_Possible Light Rain,icon_Possible Light Rain and Humid,icon_Rain,icon_Rain and Humid,week_of_year,pahar,lead_15Mins,lead_30Mins,lead_45Mins,lead_60Mins
6,2017-10-01 06:00:00,0.0,21.87,22,1,17.45,-9999,-9999.0,-9999.0,1008.65,-9999,-9999.0,-9999.0,-9999.0,3.56,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0.0,0.0,0.08,0.34
7,2017-10-01 07:00:00,0.0,25.23,25,1,17.71,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.06,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0.8,1.4,2.23,3.13
8,2017-10-01 08:00:00,0.0,24.29,24,1,18.94,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,6.24,5.1,6.08,7.04
9,2017-10-01 09:00:00,0.0,26.56,26,1,17.33,237,0.6,-9999.0,1009.95,-9999,-9999.0,-9999.0,-9999.0,3.85,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,7.91,8.54,9.41,10.08
10,2017-10-01 10:00:00,0.0,32.03,31,0,18.09,281,2.63,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,10.6,11.05,11.69,12.09
11,2017-10-01 11:00:00,0.0,33.31,32,0,17.72,278,3.73,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,12.56,12.77,13.02,13.16
12,2017-10-01 12:00:00,0.0,36.14,36,0,16.43,304,0.96,-9999.0,1008.54,-9999,-9999.0,-9999.0,-9999.0,3.91,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,12.96,12.77,12.7,12.42
13,2017-10-01 13:00:00,0.0,35.63,36,0,15.56,291,3.97,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.49,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,12.08,12.07,11.38,10.78
14,2017-10-01 14:00:00,0.0,35.57,36,0,14.5,315,4.67,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,10.45,10.02,9.23,8.33
15,2017-10-01 15:00:00,0.0,38.25,38,0,13.8,275,1.72,-9999.0,1005.31,-9999,-9999.0,-9999.0,-9999.0,4.15,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,7.42,6.35,5.35,4.11
16,2017-10-01 16:00:00,0.0,36.59,36,0,16.27,330,4.47,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,2.98,1.98,1.21,0.64
17,2017-10-01 17:00:00,0.0,35.0,35,0,14.81,330,4.47,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0.25,0.04,0.0,0.0
18,2017-10-01 18:00:00,0.0,35.3,35,0,16.14,311,0.89,-9999.0,1004.45,-9999,-9999.0,-9999.0,-9999.0,3.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0.0,0.0,0.0,0.0
30,2017-10-02 06:00:00,0.0,21.69,21,1,17.97,-9999,-9999.0,-9999.0,1006.81,-9999,-9999.0,-9999.0,-9999.0,3.51,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.0,0.0,0.08,0.34
31,2017-10-02 07:00:00,0.0,23.02,23,1,17.68,-9999,-9999.0,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0.8,1.4,2.23,3.13
32,2017-10-02 08:00:00,0.0,25.46,25,1,19.58,270,1.34,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,2.82,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,6.24,5.1,6.08,7.04
33,2017-10-02 09:00:00,0.0,27.82,28,0,15.38,254,0.93,-9999.0,1007.42,-9999,-9999.0,-9999.0,-9999.0,3.77,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,7.91,8.54,9.41,10.08
34,2017-10-02 10:00:00,0.0,30.59,30,0,17.43,260,2.9,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,3.54,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,10.6,11.05,11.69,12.09
35,2017-10-02 11:00:00,0.0,33.44,33,0,17.38,290,3.59,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999.0,4.02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,12.56,12.77,13.02,13.16
36,2017-10-02 12:00:00,0.0,34.89,35,0,14.58,301,1.7,-9999.0,1007.22,-9999,-9999.0,-9999.0,-9999.0,4.06,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,12.96,12.77,12.7,12.42
