,datetime,ghi,gti,power
0,10/1/2017 0:00,0,0,0
1,10/1/2017 0:15,0,0,0
2,10/1/2017 0:30,0,0,0
3,10/1/2017 0:45,0,0,0
4,10/1/2017 1:00,0,0,0
5,10/1/2017 1:15,0,0,0
6,10/1/2017 1:30,0,0,0
7,10/1/2017 1:45,0,0,0
8,10/1/2017 2:00,0,0,0
9,10/1/2017 2:15,0,0,0
10,10/1/2017 2:30,0,0,0
11,10/1/2017 2:45,0,0,0
12,10/1/2017 3:00,0,0,0
13,10/1/2017 3:15,0,0,0
14,10/1/2017 3:30,0,0,0
15,10/1/2017 3:45,0,0,0
16,10/1/2017 4:00,0,0,0
17,10/1/2017 4:15,0,0,0
18,10/1/2017 4:30,0,0,0
19,10/1/2017 4:45,0,0,0
20,10/1/2017 5:00,0,0,0
21,10/1/2017 5:15,0,0,0
22,10/1/2017 5:30,0,0,0
23,10/1/2017 5:45,0,0,0
24,10/1/2017 6:00,,,0
25,10/1/2017 6:15,,,0
26,10/1/2017 6:30,,,0
27,10/1/2017 6:45,,,0.08
28,10/1/2017 7:00,,,0.34
29,10/1/2017 7:15,,,0.8
30,10/1/2017 7:30,,,1.4
31,10/1/2017 7:45,,,2.23
32,10/1/2017 8:00,,,3.13
33,10/1/2017 8:15,,,6.24
34,10/1/2017 8:30,,,5.1
35,10/1/2017 8:45,,,6.08
36,10/1/2017 9:00,,,7.04
37,10/1/2017 9:15,,,7.91
38,10/1/2017 9:30,,,8.54
39,10/1/2017 9:45,,,9.41
40,10/1/2017 10:00,,,10.08
41,10/1/2017 10:15,,,10.6
42,10/1/2017 10:30,,,11.05
43,10/1/2017 10:45,,,11.69
44,10/1/2017 11:00,,,12.09
45,10/1/2017 11:15,,,12.56
46,10/1/2017 11:30,,,12.77
47,10/1/2017 11:45,,,13.02
48,10/1/2017 12:00,,,13.16
49,10/1/2017 12:15,,,12.96
50,10/1/2017 12:30,,,12.77
51,10/1/2017 12:45,,,12.7
52,10/1/2017 13:00,,,12.42
53,10/1/2017 13:15,,,12.08
54,10/1/2017 13:30,,,12.07
55,10/1/2017 13:45,,,11.38
56,10/1/2017 14:00,,,10.78
57,10/1/2017 14:15,,,10.45
58,10/1/2017 14:30,,,10.02
59,10/1/2017 14:45,,,9.23
60,10/1/2017 15:00,,,8.33
61,10/1/2017 15:15,,,7.42
62,10/1/2017 15:30,,,6.35
63,10/1/2017 15:45,,,5.35
64,10/1/2017 16:00,,,4.11
65,10/1/2017 16:15,,,2.98
66,10/1/2017 16:30,,,1.98
67,10/1/2017 16:45,,,1.21
68,10/1/2017 17:00,,,0.64
69,10/1/2017 17:15,,,0.25
70,10/1/2017 17:30,,,0.04
71,10/1/2017 17:45,,,0
72,10/1/2017 18:00,0,0,0
73,10/1/2017 18:15,0,0,0
74,10/1/2017 18:30,0,0,0
75,10/1/2017 18:45,0,0,0
76,10/1/2017 19:00,0,0,0
77,10/1/2017 19:15,0,0,0
78,10/1/2017 19:30,0,0,0
79,10/1/2017 19:45,0,0,0
80,10/1/2017 20:00,0,0,0
81,10/1/2017 20:15,0,0,0
82,10/1/2017 20:30,0,0,0
83,10/1/2017 20:45,0,0,0
84,10/1/2017 21:00,0,0,0
85,10/1/2017 21:15,0,0,0
86,10/1/2017 21:30,0,0,0
87,10/1/2017 21:45,0,0,0
88,10/1/2017 22:00,0,0,0
89,10/1/2017 22:15,0,0,0
90,10/1/2017 22:30,0,0,0
91,10/1/2017 22:45,0,0,0
92,10/1/2017 23:00,0,0,0
93,10/1/2017 23:15,0,0,0
94,10/1/2017 23:30,0,0,0
95,10/1/2017 23:45,0,0,0
96,10/2/2017 0:00,0,0,0
97,10/2/2017 0:15,0,0,0
98,10/2/2017 0:30,0,0,0
99,10/2/2017 0:45,0,0,0
100,10/2/2017 1:00,0,0,0
101,10/2/2017 1:15,0,0,0
102,10/2/2017 1:30,0,0,0
103,10/2/2017 1:45,0,0,0
104,10/2/2017 2:00,0,0,0
105,10/2/2017 2:15,0,0,0
106,10/2/2017 2:30,0,0,0
107,10/2/2017 2:45,0,0,0
108,10/2/2017 3:00,0,0,0
109,10/2/2017 3:15,0,0,0
110,10/2/2017 3:30,0,0,0
111,10/2/2017 3:45,0,0,0
112,10/2/2017 4:00,0,0,0
113,10/2/2017 4:15,0,0,0
114,10/2/2017 4:30,0,0,0
115,10/2/2017 4:45,0,0,0
116,10/2/2017 5:00,0,0,0
117,10/2/2017 5:15,0,0,0
118,10/2/2017 5:30,0,0,0
119,10/2/2017 5:45,0,0,0
120,10/2/2017 6:00,,,0
121,10/2/2017 6:15,,,0
122,10/2/2017 6:30,,,0
123,10/2/2017 6:45,,,0.08
124,10/2/2017 7:00,,,0.34
125,10/2/2017 7:15,,,0.8
126,10/2/2017 7:30,,,1.4
127,10/2/2017 7:45,,,2.23
128,10/2/2017 8:00,,,3.13
129,10/2/2017 8:15,,,6.24
130,10/2/2017 8:30,,,5.1
131,10/2/2017 8:45,,,6.08
132,10/2/2017 9:00,,,7.04
133,10/2/2017 9:15,,,7.91
134,10/2/2017 9:30,,,8.54
135,10/2/2017 9:45,,,9.41
136,10/2/2017 10:00,,,10.08
137,10/2/2017 10:15,,,10.6
138,10/2/2017 10:30,,,11.05
139,10/2/2017 10:45,,,11.69
140,10/2/2017 11:00,,,12.09
141,10/2/2017 11:15,,,12.56
142,10/2/2017 11:30,,,12.77
143,10/2/2017 11:45,,,13.02
144,10/2/2017 12:00,,,13.16
145,10/2/2017 12:15,,,12.96
146,10/2/2017 12:30,,,12.77
147,10/2/2017 12:45,,,12.7
148,10/2/2017 13:00,,,12.42
149,10/2/2017 13:15,,,12.08
150,10/2/2017 13:30,,,12.07
151,10/2/2017 13:45,,,11.38
152,10/2/2017 14:00,,,10.78
153,10/2/2017 14:15,,,10.45
154,10/2/2017 14:30,,,10.02
155,10/2/2017 14:45,,,9.23
156,10/2/2017 15:00,,,8.33
157,10/2/2017 15:15,,,7.42
158,10/2/2017 15:30,,,6.35
159,10/2/2017 15:45,,,5.35
160,10/2/2017 16:00,,,4.11
161,10/2/2017 16:15,,,2.98
162,10/2/2017 16:30,,,1.98
163,10/2/2017 16:45,,,1.21
164,10/2/2017 17:00,,,0.64
165,10/2/2017 17:15,,,0.25
166,10/2/2017 17:30,,,0.04
167,10/2/2017 17:45,,,0
168,10/2/2017 18:00,0,0,0
169,10/2/2017 18:15,0,0,0
170,10/2/2017 18:30,0,0,0
171,10/2/2017 18:45,0,0,0
172,10/2/2017 19:00,0,0,0
173,10/2/2017 19:15,0,0,0
174,10/2/2017 19:30,0,0,0
175,10/2/2017 19:45,0,0,0
176,10/2/2017 20:00,0,0,0
177,10/2/2017 20:15,0,0,0
178,10/2/2017 20:30,0,0,0
179,10/2/2017 20:45,0,0,0
180,10/2/2017 21:00,0,0,0
181,10/2/2017 21:15,0,0,0
182,10/2/2017 21:30,0,0,0
183,10/2/2017 21:45,0,0,0
184,10/2/2017 22:00,0,0,0
185,10/2/2017 22:15,0,0,0
186,10/2/2017 22:30,0,0,0
187,10/2/2017 22:45,0,0,0
188,10/2/2017 23:00,0,0,0
189,10/2/2017 23:15,0,0,0
190,10/2/2017 23:30,0,0,0
191,10/2/2017 23:45,0,0,0
192,10/3/2017 0:00,0,0,0
193,10/3/2017 0:15,0,0,0
194,10/3/2017 0:30,0,0,0
195,10/3/2017 0:45,0,0,0
196,10/3/2017 1:00,0,0,0
197,10/3/2017 1:15,0,0,0
198,10/3/2017 1:30,0,0,0
199,10/3/2017 1:45,0,0,0
200,10/3/2017 2:00,0,0,0
201,10/3/2017 2:15,0,0,0
202,10/3/2017 2:30,0,0,0
203,10/3/2017 2:45,0,0,0
204,10/3/2017 3:00,0,0,0
205,10/3/2017 3:15,0,0,0
206,10/3/2017 3:30,0,0,0
207,10/3/2017 3:45,0,0,0
208,10/3/2017 4:00,0,0,0
209,10/3/2017 4:15,0,0,0
210,10/3/2017 4:30,0,0,0
211,10/3/2017 4:45,0,0,0
212,10/3/2017 5:00,0,0,0
213,10/3/2017 5:15,0,0,0
214,10/3/2017 5:30,0,0,0
215,10/3/2017 5:45,0,0,0
216,10/3/2017 6:00,,,0
217,10/3/2017 6:15,,,0
218,10/3/2017 6:30,,,0
219,10/3/2017 6:45,,,0.08
220,10/3/2017 7:00,,,0.34
221,10/3/2017 7:15,,,0.8
222,10/3/2017 7:30,,,1.4
223,10/3/2017 7:45,,,2.23
224,10/3/2017 8:00,,,3.13
225,10/3/2017 8:15,,,6.24
226,10/3/2017 8:30,,,5.1
227,10/3/2017 8:45,,,6.08
228,10/3/2017 9:00,,,7.04
229,10/3/2017 9:15,,,7.91
230,10/3/2017 9:30,,,8.54
231,10/3/2017 9:45,,,9.41
232,10/3/2017 10:00,,,10.08
233,10/3/2017 10:15,,,10.6
234,10/3/2017 10:30,,,11.05
235,10/3/2017 10:45,,,11.69
236,10/3/2017 11:00,,,12.09
237,10/3/2017 11:15,,,12.56
238,10/3/2017 11:30,,,12.77
239,10/3/2017 11:45,,,13.02
240,10/3/2017 12:00,,,13.16
241,10/3/2017 12:15,,,12.96
242,10/3/2017 12:30,,,12.77
243,10/3/2017 12:45,,,12.7
244,10/3/2017 13:00,,,12.42
245,10/3/2017 13:15,,,12.08
246,10/3/2017 13:30,,,12.07
247,10/3/2017 13:45,,,11.38
248,10/3/2017 14:00,,,10.78
249,10/3/2017 14:15,,,10.45
250,10/3/2017 14:30,,,10.02
251,10/3/2017 14:45,,,9.23
252,10/3/2017 15:00,,,8.33
253,10/3/2017 15:15,,,7.42
